Country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
 Guatemala,2969,3488,4100,4746,5265,5911,6650,7581,8966,10028,11086,12183,13551,14919,16265,17565,18798,19960,21049,22062,22996
 Guernsey,46,47,47,51,54,54,54,56,63,61,62,64,65,67,68,68,69,68,68,68,67
 Guinea,2586,2787,3027,3314,3644,4019,4448,5227,6119,7446,8351,9154,10325,11781,13420,15241,17226,19354,21609,23966,26408
 Guinea-Bissau,574,592,617,604,621,681,789,886,996,1144,1279,1415,1566,1727,1893,2062,2231,2400,2568,2733,2895
 Guyana,428,492,572,641,715,768,760,763,772,769,785,775,746,736,751,782,813,840,859,871,879
 Haiti,3098,3365,3697,4094,4541,4974,5508,6120,6798,7571,8413,9205,9649,10111,10693,11253,11784,12267,12690,13049,13353
 Honduras,1432,1663,1952,2330,2761,2858,3403,4078,4795,5551,6360,7194,7990,8747,9466,10144,10786,11389,11951,12469,12949
 Hong Kong,2238,2491,3076,3598,3960,4396,5064,5457,5688,6223,6656,6905,7030,7142,7250,7297,7276,7185,7033,6841,6624
 Hungary,9339,9826,9984,10153,10338,10532,10712,10649,10372,10281,10148,10058,9993,9898,9772,9616,9426,9212,8983,8743,8490
 Iceland,143,159,176,193,205,219,229,242,255,268,282,297,318,332,358,387,391,393,397,403,407
 India,369881,404268,445394,494964,553889,618923,684888,759613,838159,920585,1006301,1090974,1173109,1251696,1326094,1396047,1460744,1519491,1571716,1617238,1656554
 Indonesia,82979,90255,100146,110754,122292,135214,150322,166070,181600,197604,214091,229245,243423,255994,279080,288429,296450,305653,314085,321524,327282
 Iran,16358,18739,21600,25040,28995,33468,39709,48619,58101,64218,68632,72283,76924,81825,86544,91882,93869,96673,98385,102281,107184
 Iraq,5164,5904,6823,7971,9414,11118,13233,15694,18140,19658,23129,27538,30527,37057,42213,47657,53387,59262,65148,70924,76520
 Ireland,2964,2917,2833,2877,2951,3178,3402,3541,3509,3614,3823,4200,4623,4893,5177,5418,5632,5833,6023,6195,6334
 Isle of Man,55,52,48,49,53,60,65,65,69,73,76,80,84,88,91,93,94,95,95,94,93
 Israel,1287,1771,2139,2573,2895,3342,3721,4050,4460,5335,6098,6726,7369,8050,9178,9449,10041,10588,11223,11819,12365
